categoria,nombre,localidad,url_ficha,slug
alojamientos,Hotel Barceló Montecastillo Golf,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-barcelo-montecastillo-golf,hotel-barcelo-montecastillo-golf
alojamientos,Hotel Casa Palacio María Luisa,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-casa-palacio-maria-luisa,hotel-casa-palacio-maria-luisa
alojamientos,Hotel Ibis Jerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-ibis-jerez,hotel-ibis-jerez
alojamientos,Hotel Jerez & Spa,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-jerez-spa,hotel-jerez-spa
alojamientos,Hotel Puertobahía & Spa,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/hotel-puertobahia-spa,hotel-puertobahia-spa
alojamientos,Hotel Sherry Park,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-sherry-park,hotel-sherry-park
alojamientos,Hotel Soho Boutique Jerez & Spa,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-soho-boutique-jerez-spa,hotel-soho-boutique-jerez-spa
alojamientos,La Gitanilla Alojamiento & Encanto,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/la-gitanilla-alojamiento-encanto,la-gitanilla-alojamiento-encanto
alojamientos,Royal Hideaway Sancti Petri,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/royal-hideaway-sancti-petri,royal-hideaway-sancti-petri
alojamientos,Viña La Bendita Locura,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/la-bendita-locura,la-bendita-locura
restaurantes,Albariza En Las Venas,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/albariza-en-las-venas,albariza-en-las-venas
restaurantes,Atuvera Gastro – Taberna,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/atuvera-gastro-taberna,atuvera-gastro-taberna
restaurantes,Bespoke,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bespoke,bespoke
restaurantes,Botagorda,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/botagorda,botagorda
restaurantes,Campo De Tiro,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/campo-de-tiro,campo-de-tiro
restaurantes,Casa María,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/casa-maria,casa-maria
restaurantes,El Gallo Azul,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/el-gallo-azul,el-gallo-azul
restaurantes,La Vermutería Del Sherry – Hipotels Sherry...,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/restaurante-el-abaco-hipotels-sherry-park,restaurante-el-abaco-hipotels-sherry-park
restaurantes,"Lú, Cocina Y Alma",Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/lu-cocina-y-alma,lu-cocina-y-alma
restaurantes,Restaurante Albores,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/restaurante-albores,restaurante-albores
restaurantes,Restaurante Aq35 – Hotel Jerez & Spa,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/restaurante-aq35-hotel-jerez-spa,restaurante-aq35-hotel-jerez-spa
restaurantes,Restaurante Bar Juanito,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/restaurante-bar-juanito,restaurante-bar-juanito
