resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChZDSUhNMG9nS0VJQ0FnSUM1a0tpVU5nEAE,Visita y experiencia,2,0.01062,0.006446,0.023885,0.129927,0.829122,4.76,Bodegas Manuel Aragón,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1aWJPWEV3EAE,Instalaciones,1,0.001312,0.001092,0.010784,0.202576,0.784236,4.767,Bodegas Barbadillo,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1aWJPWEV3EAE,Precio y valor,1,0.001312,0.001092,0.010784,0.202576,0.784236,4.767,Bodegas Barbadillo,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1aWJPWEV3EAE,Vino y cata,1,0.001312,0.001092,0.010784,0.202576,0.784236,4.767,Bodegas Barbadillo,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1aWJPWEV3EAE,Visita y experiencia,1,0.001312,0.001092,0.010784,0.202576,0.784236,4.767,Bodegas Barbadillo,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1bEt5VVVnEAE,Vino y cata,1,0.38104,0.319565,0.235234,0.054627,0.009534,1.992,Bodegas Gutiérrez Colosía,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzd1QlNBEAE,Instalaciones,2,0.006212,0.006777,0.048036,0.25072,0.688256,4.608,Bodegas Barbadillo,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzd1QlNBEAE,Personal y trato,1,0.003202,0.005272,0.053091,0.358698,0.579736,4.506,Bodegas Barbadillo,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzd1QlNBEAE,Vino y cata,1,0.005181,0.010196,0.079299,0.484003,0.421321,4.306,Bodegas Barbadillo,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzd1QlNBEAE,Visita y experiencia,4,0.005202,0.007255,0.057115,0.336035,0.594392,4.507,Bodegas Barbadillo,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzlXUWJ3EAE,Instalaciones,1,0.003789,0.003819,0.033921,0.276584,0.681888,4.629,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzlXUWJ3EAE,Personal y trato,2,0.100172,0.12853,0.135471,0.225174,0.410653,3.718,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzlXUWJ3EAE,Vino y cata,1,0.003855,0.003647,0.034013,0.228725,0.72976,4.677,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1bzlXUWJ3EAE,Visita y experiencia,2,0.003822,0.003733,0.033967,0.252654,0.705824,4.653,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1dDREM1J3EAE,Instalaciones,1,0.003569,0.007453,0.061908,0.480996,0.446074,4.359,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1dDREM1J3EAE,Personal y trato,1,0.003569,0.007453,0.061908,0.480996,0.446074,4.359,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1dDREM1J3EAE,Vino y cata,1,0.003569,0.007453,0.061908,0.480996,0.446074,4.359,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1dDREM1J3EAE,Visita y experiencia,1,0.003569,0.007453,0.061908,0.480996,0.446074,4.359,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1dHBxalRREAE,Personal y trato,1,0.933597,0.059076,0.006154,0.00061,0.000563,1.075,Bodegas González Byass – Tío Pepe,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1dWZDNkNnEAE,Instalaciones,1,0.801687,0.125216,0.017471,0.01286,0.042766,1.37,Bodegas González Byass – Tío Pepe,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1dWZDNkNnEAE,Precio y valor,1,0.646923,0.25329,0.082157,0.011542,0.006087,1.477,Bodegas González Byass – Tío Pepe,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1dWZDNkNnEAE,Vino y cata,1,0.801687,0.125216,0.017471,0.01286,0.042766,1.37,Bodegas González Byass – Tío Pepe,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1dWZDNkNnEAE,Visita y experiencia,2,0.717837,0.194335,0.045389,0.014012,0.028427,1.441,Bodegas González Byass – Tío Pepe,1.0
ChZDSUhNMG9nS0VJQ0FnSUM1eFlTVVl3EAE,Instalaciones,1,0.003263,0.003572,0.051815,0.441795,0.499554,4.431,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1eFlTVVl3EAE,Personal y trato,1,0.003263,0.003572,0.051815,0.441795,0.499554,4.431,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1eFlTVVl3EAE,Visita y experiencia,1,0.003263,0.003572,0.051815,0.441795,0.499554,4.431,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1eGVpd1dnEAE,Personal y trato,1,0.004254,0.004267,0.023323,0.169567,0.798588,4.754,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1eGVpd1dnEAE,Vino y cata,1,0.004254,0.004267,0.023323,0.169567,0.798588,4.754,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1eGVpd1dnEAE,Visita y experiencia,1,0.004254,0.004267,0.023323,0.169567,0.798588,4.754,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1enBqUUdBEAE,Instalaciones,1,0.006831,0.005553,0.02919,0.179827,0.778599,4.718,Bodegas Fundador,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2LVlDTktREAE,Instalaciones,1,0.038047,0.038697,0.133703,0.27956,0.509994,4.185,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2LVlDTktREAE,Vino y cata,1,0.002822,0.003933,0.046598,0.383426,0.56322,4.5,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2LVlDTktREAE,Visita y experiencia,1,0.038047,0.038697,0.133703,0.27956,0.509994,4.185,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2M3Zqd09nEAE,Instalaciones,1,0.001195,0.001882,0.032334,0.379739,0.584849,4.545,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2M3Zqd09nEAE,Personal y trato,1,0.002415,0.002636,0.023159,0.238905,0.732885,4.697,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2M3Zqd09nEAE,Vino y cata,2,0.010169,0.010837,0.052786,0.293468,0.632741,4.528,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2M3Zqd09nEAE,Visita y experiencia,2,0.009559,0.01046,0.057374,0.363885,0.558723,4.452,Bodegas Delgado Zuleta,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2NFlIbEl3EAE,Personal y trato,1,0.005728,0.042124,0.355471,0.506397,0.090279,3.633,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2NFlIbEl3EAE,Vino y cata,2,0.003552,0.021929,0.182461,0.328207,0.463851,4.227,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2NFlIbEl3EAE,Visita y experiencia,3,0.04273,0.035659,0.058348,0.268326,0.594938,4.337,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2OGJqc09nEAE,Instalaciones,2,0.001786,0.003568,0.062385,0.398618,0.533643,4.459,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2OGJqc09nEAE,Vino y cata,2,0.001786,0.003568,0.062385,0.398618,0.533643,4.459,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2OGJqc09nEAE,Visita y experiencia,2,0.001786,0.003568,0.062385,0.398618,0.533643,4.459,Bodegas Álvaro Domecq,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2XzQzc1h3EAE,Precio y valor,1,0.002571,0.002204,0.016139,0.195872,0.783213,4.755,Cooperativa De Viticultores Chiclaneros,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2Z3BpNUxnEAE,Visita y experiencia,1,0.005576,0.005053,0.040715,0.317821,0.630835,4.563,Bodegas González Byass – Tío Pepe,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2Z3BxVmRBEAE,Instalaciones,1,0.001536,0.001312,0.012245,0.191752,0.793154,4.774,Bodegas Manuel Aragón,5.0
